Name,SMILES,Predicted_Score,Uncertainty
NCGC00374363-01,CCN(CC)C[C@H](C)[NH2+]C,-2.945528216543395,0.9837739446091062
NCGC00424248-01,Brc1ccc(-c2ccnc3ncnn23)s1,-5.084165276818906,0.9778974173120728
NCGC00374395-01,C[C@@H]1CN2C[C@H](O)C[C@H]2C[NH2+]1,-4.345131272896743,0.9775484340368694
NCGC00444191-01,Cc1n[nH]c(C)c1-c1nc2c([nH]1)CC[NH2+]C2,-4.674874931540527,0.9771449009370256
NCGC00374200-01,CCCNC1C[NH2+]C1,-4.014350291559,0.977135254436659
NCGC00374306-01,CC(C)(C[NH3+])N1CCCC1,-4.544964413714946,0.9761602775280912
NCGC00354182-02,[NH3+]CC1(N2CCCC2)CCCCC1,-4.419341674642549,0.9739005857633226
NCGC00374405-01,CCCCc1[nH]cc[nH+]1,-4.819311065563347,0.9720631222292324
NCGC00424515-01,c1coc(-c2ccnc3ncnn23)c1,-5.993962746994167,0.9707249778229624
NCGC00374278-01,Clc1cc(Cl)cc(NC2C[NH2+]C2)c1,-5.441927886857679,0.9704583134708884
NCGC00432855-01,C1C[C@H](OCC2CC2)C[NH2+]1,-5.139921081145781,0.969549517824598
NCGC00374367-01,C[C@@H]1CN2CCC[C@H]2C[NH2+]1,-4.880627292209317,0.9692321123820836
NCGC00373945-01,CSc1ccc(-c2cccc(C=O)c2)cc1,-7.199559777502564,0.9691708366353904
NCGC00374435-01,c1c[nH+]c(C2CCCC2)[nH]1,-5.670064528147182,0.9689751043108864
NCGC00373949-01,Cc1cc(C)cc(-c2ccc(C=O)cc2)c1,-6.973622879665001,0.968860955481838
NCGC00435525-01,Cc1cc(C(F)(F)F)nc(CNc2cc(C)nc3c(C)c(C)nn23)n1,-5.853285173298901,0.9688557205532258
NCGC00424673-01,O[C@H]1C[C@@H]([C@H]([NH2+]C2CSCCSC2)c2ccc3c(c2)CCO3)C1,-6.356328082462397,0.968553291776642
