Name,SMILES,Score
NCGC00174717-02,c1ccc(cc1)c2c(c[nH]n2)C[NH3+],-8.2949
NCGC00305123-02,Cc1nnc2n1nc(cc2)NCc3ccc(cc3)F,-10.1992
NCGC00048081-02,COc1ccccc1Cn2cnc3c2nccc3,-10.1151
NCGC00019120-02,C1CCc2n[nH]c(=O)n2CC1,-6.8896
NCGC00054421-02,Cc1nnc2n1nc(cc2)N3CCCC3,-7.3941
NCGC00326711-02,CC[NH2+]Cc1ccc(o1)c2ccccc2,-10.0684
NCGC00245606-02,Cc1nnc2n1nc(cc2)N3CCOCC3,-7.7179
NCGC00112026-02,Cc1ccc(c2c1C(=Nc3cc(ccc3S2)C(=O)NCc4ccc(cc4)OC)C)C,-8.3103
NCGC00338944-02,C[NH2+][C@H]1CCCc2c1cccc2,-7.3992
NCGC00352776-02,C[C@H](c1ccccc1OC)[NH2+]C,-6.4813
NCGC00040817-02,c1ccc(c(c1)NC(=O)CN2C(=O)C3(CCCCC3)NC2=O)Cl,-12.3412
NCGC00052441-02,CC(C)(C)NC(=O)[C@@H]1CC(=NO1)c2ccc(cc2)OC,-11.6815
NCGC00353241-02,c1cn[nH]c1[C@@H]2CCC[NH2+]C2,-6.7763
NCGC00058784-02,CCOC(=O)C1=C(NC(=O)N[C@@H]1c2ccccc2Cl)C,-8.9077
NCGC00107915-02,Cc1ccc2c(c1)C(=Nc3cc(ccc3S2)C(=O)NCCOC)C,-10.3906
NCGC00038620-02,Cc1ccc(c(c1)Cl)NC(=O)CN2C(=O)C3(CCC(CC3)C)NC2=O,-12.6684
NCGC00052459-02,CC(C)(C)NC(=O)[C@@H]1CC(=NO1)c2cccc(c2)OC,-11.0537
NCGC00293576-02,CC(C)(C)NC(=O)[C@@H]1CC(=NO1)c2ccccc2OC,-11.4888
NCGC00353282-02,C[C@H](c1ccccn1)[NH2+]C,-6.6265
NCGC00371606-02,C[NH2+]Cc1ccc2c(c1)OCO2,-6.9790
NCGC00354182-02,C1CCC(CC1)(C[NH3+])N2CCCC2,-6.9338
NCGC00052438-02,CC(C)NC(=O)[C@@H]1CC(=NO1)c2ccc(cc2)OC,-11.3315
NCGC00340331-02,CCC[NH2+]Cc1ccc(o1)c2ccccc2,-10.7893
NCGC00034232-02,C[N@H+]1CCNC(=O)[C@@H]1CC(=O)[O-],-6.3348
NCGC00178726-02,C[N@](C1CCCCC1)[S@@+](=O)([C@H]2CC[S@+](=O)(C2)[O-])[O-],-9.3804
NCGC00358764-02,Cc1c(c(on1)c2cccs2)C(=O)N[C@@H](C)c3cccc4c3cccc4,-10.4976
NCGC00052457-02,CC(C)NC(=O)[C@@H]1CC(=NO1)c2cccc(c2)OC,-11.3571
NCGC00352906-02,C1CCC(CC1)N[S@+](=O)([C@H]2CC[S@+](=O)(C2)[O-])[O-],-9.7291
NCGC00293574-02,CC(C)NC(=O)[C@@H]1CC(=NO1)c2ccccc2OC,-10.3846
NCGC00027933-02,Cc1c2c([nH]n1)OC(=C([C@@H]2c3ccc(cc3)Cl)C#N)[NH3+],-8.7054
NCGC00301888-02,CCCc1c2c([nH]n1)OC(=C([C@@H]2c3ccccc3)C#N)[NH3+],-7.6279
NCGC00298496-02,Cc1cc(=O)n(c(n1)N2CCc3ccccc3C2)CC(=O)Nc4ccc(cc4)F,-10.3093
NCGC00354117-02,CC(=O)NCC(=O)N1CCCn2c1[nH+]c(c2)c3ccccc3F,-13.7287
NCGC00338390-02,COCC[NH2+]Cc1ccc(o1)c2ccc(cc2)F,-11.4618
NCGC00373263-01,CC1=NO[C@]2(C1)CCC[N@H+](C2)CC3CCCCC3,-11.0774
NCGC00267480-02,Cc1ccc(cc1)[S@@+](=O)(c2c3nc(c4ccccc4n3nn2)N5CCOCC5)[O-],-13.5391
NCGC00373265-01,CC(C)C1=NO[C@]2(C1)CCC[N@H+](C2)Cc3ccccn3,-12.0932
NCGC00330612-02,CCOCCC[NH2+]Cc1ccc(o1)c2ccccc2,-10.8703
NCGC00373262-01,CC1=NO[C@@]2(C1)CCC[N@@](C2)[S@@+](=O)(c3cccc(c3)OC)[O-],-11.6747
NCGC00373267-01,CC(C)C1=NO[C@]2(C1)CCC[N@H+](C2)CC3CCCC3,-11.8724
NCGC00354500-02,CN(C)[S@+](=O)(N1CCC(CC1)c2cc(n[nH]2)c3ccccc3)[O-],-10.3604
NCGC00373271-01,CC(C)C1=NO[C@@]2(C1)CCC[N@@](C2)[S@@+](=O)(c3cccs3)[O-],-12.4985
NCGC00373272-01,CC(C)C1=NO[C@@]2(C1)CCC[N@@](C2)[S@@+](=O)(c3cccc(c3)C(F)(F)F)[O-],-14.1506
NCGC00305223-02,COCCN1C(=O)c2ccccc2[C@@H](C13CCCC3)C(=O)Nc4cccc(c4)OC,-11.6553
NCGC00107615-02,CCCC1=Nc2cc(ccc2Sc3c1cc(cc3)C)C(=O)NCCc4ccccc4,-12.5348
NCGC00373273-01,CC(C)C1=NO[C@@]2(C1)CCC[N@@](C2)[S@@+](=O)(c3cccc(c3)OC)[O-],-13.8591
NCGC00373260-01,CC1=NO[C@@]2(C1)CCCN(C2)C(=O)c3ccccn3,-10.4747
NCGC00373264-01,CC1=NO[C@@]2(C1)CCCN(C2)C(=O)c3ccc(cc3)OC,-11.0892
NCGC00373276-01,c1ccc(cc1)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4ccccc4)[O-],-15.4013
NCGC00373285-01,c1ccc(cc1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-12.3057
NCGC00373284-01,COc1ccc(cc1)C[N@@H+]2CCC[C@@]3(C2)CC(=NO3)c4ccccc4,-12.7342
NCGC00373269-01,CC(C)C1=NO[C@@]2(C1)CCCN(C2)C(=O)c3ccccc3,-12.7033
NCGC00373286-01,c1ccc(cc1)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCCC4,-14.6179
NCGC00373268-01,CC(C)C1=NO[C@@]2(C1)CCCN(C2)C(=O)c3ccccn3,-12.2276
NCGC00373329-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCCC4,-14.3484
NCGC00373327-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4cccc(c4)C(F)(F)F)[O-],-12.0616
NCGC00373330-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCC4,-13.9787
NCGC00373283-01,c1ccc(cc1)CC(=O)N2CCC[C@@]3(C2)CC(=NO3)c4ccccc4,-13.9363
NCGC00373338-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4ccccc4)[O-],-13.3899
NCGC00373295-01,c1ccc(cc1)CC(=O)N2CCC[C@@]3(C2)CC(=NO3)c4ccccn4,-12.3847
NCGC00373292-01,c1ccnc(c1)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4cccs4)[O-],-13.0756
NCGC00373300-01,c1ccnc(c1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-10.5421
NCGC00373296-01,c1ccnc(c1)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCC4,-13.4277
NCGC00373287-01,c1ccc(cc1)C2=NO[C@]3(C2)CCCN(C3)C(=O)C4CCCCC4,-14.1400
NCGC00373308-01,c1ccc(cc1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-],-14.4980
NCGC00373311-01,c1cc(cc(c1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-])C(F)(F)F,-14.7287
NCGC00373293-01,COc1cccc(c1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4ccccn4)[O-],-12.5653
NCGC00373314-01,c1cc(cnc1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-11.3831
NCGC00373310-01,c1cc(cnc1)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCC4,-13.2425
NCGC00373277-01,c1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccccc4,-14.6917
NCGC00373319-01,CC(=O)Nc1ccc(cc1)C[N@@H+]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4,-10.6714
NCGC00373355-01,Cc1c(c(on1)C)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-],-10.8361
NCGC00373278-01,c1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc5c(c4)OCO5,-12.7263
NCGC00373279-01,c1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc(cc4)C(F)(F)F,-13.4259
NCGC00373309-01,COc1cccc(c1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-],-13.7366
NCGC00373321-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-8.7557
NCGC00373318-01,c1cc(cnc1)C2=NO[C@]3(C2)CCCN(C3)C(=O)C4CCCCC4,-12.9759
NCGC00373332-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCCN(C3)C(=O)C4CCCCC4,-13.2389
NCGC00373360-01,CC(C)CC[N@@H+]1CCC[C@@]2(C1)CC(=NO2)c3cccnc3,-12.2036
NCGC00373331-01,COc1ccc(cc1)C[N@@H+]2CCC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-13.3407
NCGC00373334-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCCC4,-14.0334
NCGC00373343-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-9.6082
NCGC00373304-01,c1ccnc(c1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc(cc4)C(F)(F)F,-12.0528
NCGC00373326-01,COc1cccc(c1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F)[O-],-13.1602
NCGC00373339-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4cccs4)[O-],-12.8502
