Name,SMILES,Score
NCGC00451071-01,CC(C)(C)c1ccc(cc1)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)F,-18.4508
NCGC00451116-01,c1cc(ccc1Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccc(cc4)C(F)(F)F)F,-18.3916
NCGC00451059-01,CCc1ccc(cc1)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)C,-18.3581
NCGC00451068-01,Cc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccc(cc4)C(F)(F)F,-18.3297
NCGC00451081-01,Cc1ccc(cc1)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)F,-18.2628
NCGC00451056-01,Cc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccc(c(c4)C)C,-18.2121
NCGC00451118-01,Cc1ccc(cc1F)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)F,-18.2033
NCGC00451086-01,COc1ccc(cc1)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)F,-18.0601
NCGC00451069-01,Cc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccc(c(c4)F)C,-17.9632
NCGC00478612-01,C[N@@](Cc1ccc(cc1)c2ccccc2)[S@@+](=O)(c3cccc(c3)C(F)(F)F)[O-],-17.9296
NCGC00395563-01,c1ccc2c(c1)cc(cn2)C[N@@H+]3C[C@@H]4C[C@H]3C(=O)N(c5ccccc5O4)CC6CC6,-17.9057
NCGC00451048-01,Cc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccc5c(c4)OCO5,-17.5839
NCGC00451149-01,COc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccc(c(c4)F)F,-17.5454
NCGC00451089-01,Cc1cccc(c1)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)F,-17.5004
NCGC00451054-01,Cc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4cccc(c4)C,-17.484
NCGC00451122-01,CC(C)(C)c1ccc(cc1)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)OC,-17.4561
NCGC00426077-01,Cc1cccc(c1)c2ccccc2C(=O)N3CCC[C@@](C3)(Cc4ccccc4F)CO,-17.4351
NCGC00451155-01,Cc1ccc(c(c1)C)C(=O)N2CCC(CC2)c3n[nH]c(=O)n3Cc4ccc(cc4)OC,-17.4071
NCGC00451139-01,COc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4c(cccc4F)F,-17.3598
